probe_id	probeset_id	x	y
1048363	8140259	462	998
1048363	8140270	462	998
1048363	8140281	462	998
379406	8133301	355	361
379406	8133532	355	361
379406	8133755	355	361
379406	8139897	355	361
379406	8140240	355	361
379406	8140259	355	361
379406	8140270	355	361
379406	8140281	355	361
669681	8133301	830	637
669681	8140240	830	637
669681	8140259	830	637
669681	8140270	830	637
669681	8140281	830	637
977837	8133301	286	931
977837	8140240	286	931
977837	8140259	286	931
977837	8140270	286	931
977837	8140281	286	931
794136	8133301	335	756
794136	8133532	335	756
794136	8133755	335	756
794136	8140240	335	756
794136	8140259	335	756
794136	8140270	335	756
794136	8140281	335	756
253893	8133301	842	241
253893	8140240	842	241
253893	8140259	842	241
253893	8140270	842	241
253893	8140281	842	241
417400	8133301	549	397
417400	8133532	549	397
417400	8133755	549	397
417400	8140240	549	397
417400	8140259	549	397
417400	8140270	549	397
417400	8140281	549	397
458072	8133301	271	436
458072	8133532	271	436
458072	8133755	271	436
458072	8140240	271	436
458072	8140259	271	436
458072	8140270	271	436
458072	8140281	271	436
112190	8133301	889	106
112190	8140240	889	106
112190	8140259	889	106
112190	8140270	889	106
112190	8140281	889	106
889368	8133301	17	847
889368	8133532	17	847
889368	8133755	17	847
889368	8140240	17	847
889368	8140259	17	847
889368	8140270	17	847
889368	8140281	17	847
535136	8133301	685	509
535136	8133532	685	509
535136	8133755	685	509
535136	8140240	685	509
535136	8140259	685	509
535136	8140270	685	509
535136	8140281	685	509
1078173	8133301	872	1026
1078173	8133532	872	1026
1078173	8133755	872	1026
1078173	8140240	872	1026
1078173	8140259	872	1026
1078173	8140270	872	1026
1078173	8140281	872	1026
1059344	8133301	943	1008
1059344	8133310	943	1008
1059344	8133532	943	1008
1059344	8133755	943	1008
1059344	8140240	943	1008
1059344	8140259	943	1008
1059344	8140270	943	1008
1059344	8140281	943	1008
1080679	8133301	228	1029
1080679	8133532	228	1029
1080679	8133755	228	1029
1080679	8140240	228	1029
1080679	8140259	228	1029
1080679	8140270	228	1029
1080679	8140281	228	1029
442732	8133301	681	421
442732	8133532	681	421
442732	8133755	681	421
442732	8140240	681	421
442732	8140259	681	421
442732	8140270	681	421
442732	8140281	681	421
1099603	8133301	252	1047
1099603	8133532	252	1047
1099603	8133755	252	1047
1099603	8140240	252	1047
1099603	8140259	252	1047
1099603	8140270	252	1047
1099603	8140281	252	1047
7666	8133301	315	7
7666	8133310	315	7
7666	8133532	315	7
7666	8133755	315	7
7666	8140240	315	7
7666	8140259	315	7
7666	8140270	315	7
7666	8140281	315	7
669800	8133301	949	637
669800	8133532	949	637
669800	8133755	949	637
669800	8140240	949	637
